"","GeneSymbol","DATE.ADDED.TO.CATALOG","PUBMEDID","FIRST.AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","REPLICATION.SAMPLE.SIZE","REGION","CHR_ID","CHR_POS","REPORTED.GENE.S.","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST.SNP.RISK.ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK.ALLELE.FREQUENCY","P.VALUE","PVALUE_MLOG","P.VALUE..TEXT.","OR.or.BETA","X95..CI..TEXT.","PLATFORM..SNPS.PASSING.QC.","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY.ACCESSION","GENOTYPING.TECHNOLOGY"
"66","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","2p24.1",2,21471579,"NR","AC018742.1, AC011752.1","","","ENSG00000233005, ENSG00000231204",NA,NA,"rs11897825-A","rs11897825",0,11897825,"intron_variant",0,"NR",3e-07,6.52287874528034,"(Females)",0.08,"[0.049-0.111] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"67","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","11q13.4",11,75263946,"NR","ARRB1","","","ENSG00000137486",NA,NA,"rs35329661-T","rs35329661",0,35329661,"3_prime_UTR_variant",0,"NR",7e-06,5.15490195998574,"(Females)",0.033,"[-0.00032-0.06632] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"68","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","20q13.33",20,61868195,"NR","CDH4, CDH4","","","ENSG00000179242, ENSG00000280641",NA,NA,"rs78897171-A","rs78897171",0,78897171,"intron_variant",0,"NR",8e-07,6.09691001300806,"(Females)",0.091,"[0.054-0.128] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"69","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","1q23.3",1,165016519,"NR","RNU6-755P - LMX1A","ENSG00000201270","ENSG00000162761","",36382,185348,"rs140743827-A","rs140743827",0,140743827,"intergenic_variant",1,"NR",5e-06,5.30102999566398,"(Hispanic)",0.218,"[0.12-0.31] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"70","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea (average oxygen saturation during sleep)","12,557 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","1q42.2",1,233818485,"NR","AL357972.1 - AL663058.1","ENSG00000286109","ENSG00000225486","",87739,17595,"rs75108997-A","rs75108997",0,75108997,"intergenic_variant",1,"NR",7e-07,6.15490195998574,"(Hispanic, females)",0.365,"[0.22-0.51] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003673","Genome-wide genotyping array"
"71","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","2p24.3",2,15076492,"NR","AC068286.1 - NBAS","ENSG00000235127","ENSG00000151779","",168828,90422,"rs2033354-T","rs2033354",0,2033354,"intergenic_variant",1,"NR",8e-06,5.09691001300806,"(Hispanic, females)",0.026,"[0.014-0.038] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"72","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","6q21",6,109322403,"NR","CCDC162P","","","ENSG00000203799",NA,NA,"rs35424364-A","rs35424364",0,35424364,"intron_variant",0,"NR",8e-08,7.09691001300806,"(Hispanic, females)",0.04,"[0.024-0.056] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"73","LINC01171","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","11q21",11,94347083,"LINC01171, GPR83, MRE11A","IZUMO1R - GPR83","ENSG00000183560","ENSG00000123901","",39362,30233,"rs116791765-T","rs116791765",0,116791765,"intergenic_variant",1,"0.989",2e-08,7.69897000433602,"(Hispanic)",0.345,"[0.23-0.46] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"74","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","2p14",2,64822719,"intergenic","RN7SL341P - RF00019","ENSG00000275588","ENSG00000207416","",5044,11337,"rs999944-A","rs999944",0,999944,"intergenic_variant",1,"0.112",2e-07,6.69897000433602,"(Hispanic)",0.104,"[0.065-0.143] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"75","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","2p14",2,64822719,"intergenic","RN7SL341P - RF00019","ENSG00000275588","ENSG00000207416","",5044,11337,"rs999944-A","rs999944",0,999944,"intergenic_variant",1,"0.112",1e-06,6,"",0.072,"[0.043-0.101] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"76","SMCO2","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","12p11.23",12,27501431,"SMCO2","SMCO2","","","ENSG00000165935",NA,NA,"rs199803244-A","rs199803244",0,199803244,"intron_variant",0,"0.945",5e-07,6.30102999566398,"(Hispanic, females)",0.187,"[0.11-0.26] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"77","AC011752.1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","2p24.1",2,21471579,"AC011752.1, AC067959.1","AC018742.1, AC011752.1","","","ENSG00000233005, ENSG00000231204",NA,NA,"rs11897825-A","rs11897825",0,11897825,"intron_variant",0,"0.606",5e-07,6.30102999566398,"(Hispanic, females)",0.09,"[0.055-0.125] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"78","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","1q23.3",1,165016519,"intergenic","RNU6-755P - LMX1A","ENSG00000201270","ENSG00000162761","",36382,185348,"rs140743827-A","rs140743827",0,140743827,"intergenic_variant",1,"0.018",2e-07,6.69897000433602,"(Hispanic, men)",0.428,"[0.27-0.59] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"79","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","1q31.2",1,191832003,"intergenic","LINC01680 - AL359081.1","ENSG00000233882","ENSG00000223344","",603536,26704,"rs11588454-T","rs11588454",0,11588454,"intergenic_variant",1,"0.75",8e-08,7.09691001300806,"(Hispanic, males)",0.124,"[0.079-0.169] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"80","CTB-57H20.1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","5q31.3",5,143693985,"CTB-57H20.1","AC008696.2","","","ENSG00000249881",NA,NA,"rs111942351-A","rs111942351",0,111942351,"intron_variant",0,"0.981",4e-07,6.39794000867204,"(Hispanic, males, BMI-adjusted)",0.363,"[0.22-0.5] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"81","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (apnea hypopnea index)","12,558 Hispanic/Latin American individuals","214 Asian ancestry individuals, 1,183 African American individuals, 5,638 European ancestry individuals","17q12",17,36824731,"intergenic","AC243830.1 - LHX1-DT","ENSG00000275613","ENSG00000277268","",98391,36943,"rs47996285-A","rs4796285",0,4796285,"regulatory_region_variant",1,"0.581",7e-06,5.15490195998574,"(Hispanic, males)",0.092,"[0.053-0.131] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003674","Genome-wide genotyping array"
"82","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea (average oxygen saturation during sleep)","12,557 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","1q32.1",1,203747715,"intergenic","ATP2B4 - LAX1","ENSG00000058668","ENSG00000122188","",3634,17461,"rs75108997-A","rs116133558",0,116133558,"intergenic_variant",1,"0.013",4e-07,6.39794000867204,"(Hispanic)",0.296,"[0.18-0.41] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003673","Genome-wide genotyping array"
"83","NR","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea (average oxygen saturation during sleep)","12,557 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","1q32.1",1,203747715,"NR","ATP2B4 - LAX1","ENSG00000058668","ENSG00000122188","",3634,17461,"rs75108997-A","rs116133558",0,116133558,"intergenic_variant",1,"0.013",8e-06,5.09691001300806,"",0.21,"[0.12-0.3] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003673","Genome-wide genotyping array"
"84","ATP2B4","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea (average oxygen saturation during sleep)","12,557 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","1q32.1",1,203747715,"ATP2B4","ATP2B4 - LAX1","ENSG00000058668","ENSG00000122188","",3634,17461,"rs116133558-T","rs116133558",0,116133558,"intergenic_variant",1,"0.014",2e-07,6.69897000433602,"(Hispanic, BMI-adjusted)",0.291,"[0.18-0.4] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003673","Genome-wide genotyping array"
"85","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea (average oxygen saturation during sleep)","12,557 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","16p12.1",16,26493690,"intergenic","AC130464.1 - LINC02195","ENSG00000228480","ENSG00000236481","",135335,91065,"rs11074782-T","rs11074782",0,11074782,"intergenic_variant",1,"0.23",2e-06,5.69897000433602,"(Hispanic, males)",0.113,"[0.066-0.16] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003673","Genome-wide genotyping array"
"86","C6ORF183","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","6q21",6,109322403,"C6ORF183, CCDC162P","CCDC162P","","","ENSG00000203799",NA,NA,"rs35424364-A","rs35424364",0,35424364,"intron_variant",0,"0.129",2e-08,7.69897000433602,"(Hispanic)",0.032,"[0.020-0.044] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"87","RP11-","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","11p11.2",11,44741205,"RP11- 45A12.2, TSPAN18","TSPAN18","","","ENSG00000157570",NA,NA,"rs74472562-T","rs74472562",0,74472562,"intron_variant",0,"0.086",6e-08,7.22184874961636,"(Hispanic)",0.035,"[0.023-0.047] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"88","PLCB1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","20p12.3",20,8264646,"PLCB1","PLCB1","","","ENSG00000182621",NA,NA,"rs2743173-T","rs2743173",0,2743173,"intron_variant",0,"0.567",2e-07,6.69897000433602,"(Hispanic)",0.019,"[0.011-0.027] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"89","AC124997.1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","15q12",15,25584050,"AC124997.1","AC023449.1 - ATP10A","ENSG00000223628","ENSG00000206190","",2928,93223,"rs72699765-A","rs72699765",0,72699765,"intergenic_variant",1,"0.11",5e-07,6.30102999566398,"(Hispanic)",0.029,"[0.017-0.041] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"90","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","2p24.3",2,15076492,"intergenic","AC068286.1 - NBAS","ENSG00000235127","ENSG00000151779","",168828,90422,"rs2033354-T","rs2033354",0,2033354,"intergenic_variant",1,"0.784",4e-07,6.39794000867204,"(Hispanic)",0.022,"[0.014-0.030] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"91","CDH4","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","20q13.33",20,61868195,"CDH4","CDH4, CDH4","","","ENSG00000179242, ENSG00000280641",NA,NA,"rs78897171-A","rs78897171",0,78897171,"intron_variant",0,"0.023",1e-07,7,"(Hispanic, females)",0.108,"[0.069-0.147] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"92","ARRB1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","11q13.4",11,75263946,"ARRB1, CTD-2562J17.7, CTD-2562J17.9","ARRB1","","","ENSG00000137486",NA,NA,"rs35329661-T","rs35329661",0,35329661,"3_prime_UTR_variant",0,"0.013",2e-07,6.69897000433602,"(Hispanic, females)",0.134,"[0.083-0.185] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"93","RP11-266O8.1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","15q26.1",15,93371222,"RP11-266O8.1","AC091078.1","","","ENSG00000257060",NA,NA,"rs148024591-T","rs148024591",0,148024591,"intron_variant",0,"0.017",7e-08,7.15490195998574,"(Hispanic, males)",0.117,"[0.074-0.16] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"94","AC093901.1","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","2q14.2",2,118185307,"AC093901.1","THORLNC","","","ENSG00000226856",NA,NA,"rs4849682-T","rs4849682",0,4849682,"intron_variant",0,"0.29",5e-07,6.30102999566398,"(Hispanic, males)",0.03,"[0.018-0.042] unit decrease","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
"95","intergenic","2017-02-24",26977737,"Cade BE","2016-03-15","Am J Respir Crit Care Med","www.ncbi.nlm.nih.gov/pubmed/26977737","Genetic Associations with Obstructive Sleep Apnea Traits in Hispanic/Latino Americans.","Obstructive sleep apnea trait (average respiratory event duration)","10,238 Hispanic/Latin American ancestry individuals","214 Asian ancestry individuals, 1,183 African American ancestry individuals, 5,638 European ancestry individuals","12q24.32",12,125711743,"intergenic","TMEM132B - AC005252.2","ENSG00000139364","ENSG00000280125","",49366,96925,"rs11610782-A","rs11610782",0,11610782,"intergenic_variant",1,"0.024",4e-07,6.39794000867204,"(Hispanic, males)",0.108,"[0.067-0.149] unit increase","Affymetrix, Illumina [NR] (imputed)","N","sleep apnea measurement, obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0007817, http://www.ebi.ac.uk/efo/EFO_0003918","GCST003675","Genome-wide genotyping array"
